datetime,open,high,low,close,volume,ohlc4,sma,smoothing_sma,sma_diff,sma_sign,sma_crossover,sma_signal,brick_color,day_of_week,day_of_week_transition,take_profit,stop_loss,position_count,cum_position_count,stop_loss_hit,
45:58.6,1.0548,1.0551,1.05479,1.0551,290,1.0549475,1.054599167,1.054599167,0,0,0,sell,green,Friday,0,,1.0551,0,930,1,0
19:22.1,1.0548,1.0551,1.0548,1.0551,171,1.05495,1.054625,1.0546275,-2.50E-06,-1,0,sell,green,Tuesday,0,,1.0551,0,976,1,0
43:11.7,1.0638,1.0641,1.06325,1.0641,694,1.0638125,1.063586667,1.063608333,-2.17E-05,-1,0,sell,green,Tuesday,0,,1.0641,0,990,1,0
16:14.2,1.0656,1.0659,1.06539,1.0659,1151,1.0656975,1.065401667,1.065408611,-6.94E-06,-1,0,sell,green,Wednesday,0,,1.0659,0,1054,1,0
07:39.5,1.0674,1.06767,1.0671,1.0671,598,1.0673175,1.0676025,1.067576667,2.58E-05,1,0,buy,red,Thursday,0,,1.0671,0,1105,1,0
20:00.2,1.0638,1.0641,1.06344,1.0641,186,1.06386,1.063608333,1.063626111,-1.78E-05,-1,0,sell,green,Thursday,0,,1.0641,0,1120,1,0
25:26.3,1.0638,1.06381,1.0635,1.0635,117,1.0636525,1.063983333,1.0639725,1.08E-05,1,0,buy,red,Thursday,0,,1.0635,0,1121,1,0
29:29.1,1.0638,1.0641,1.06356,1.0641,631,1.06389,1.063591667,1.063601667,-1.00E-05,-1,0,sell,green,Thursday,0,,1.0641,0,1122,1,0
51:39.8,1.062,1.0623,1.06167,1.0623,1087,1.0620675,1.061801667,1.061816111,-1.44E-05,-1,0,sell,green,Tuesday,0,,1.0623,0,1258,1,0
05:10.3,1.0638,1.06434,1.0635,1.0635,1096,1.063785,1.064031667,1.064010833,2.08E-05,1,0,buy,red,Thursday,0,,1.0635,0,1307,1,0
07:01.4,1.0638,1.0641,1.06365,1.0641,196,1.0639125,1.063589167,1.063593889,-4.72E-06,-1,0,sell,green,Wednesday,0,,1.0641,0,1406,1,0
13:49.6,1.0656,1.06582,1.0653,1.0653,598,1.065505,1.0658,1.065798889,1.11E-06,1,0,buy,red,Thursday,0,,1.0653,0,1431,1,0
27:23.9,1.0656,1.0659,1.0656,1.0659,52,1.06575,1.065411667,1.065413889,-2.22E-06,-1,0,sell,green,Thursday,0,,1.0659,0,1432,1,0
48:33.7,1.0692,1.0692,1.0689,1.0689,1,1.06905,1.0693975,1.06939,7.50E-06,1,0,buy,red,Monday,0,,1.0689,0,1497,1,0
51:02.3,1.0692,1.0692,1.0689,1.0689,1,1.06905,1.0693925,1.069391667,8.33E-07,1,0,buy,red,Monday,0,,1.0689,0,1503,1,0
55:25.3,1.0692,1.0692,1.0689,1.0689,4,1.06905,1.069370833,1.069364722,6.11E-06,1,0,buy,red,Monday,0,,1.0689,0,1531,1,0
12:19.8,1.0548,1.05494,1.0545,1.0545,189,1.054685,1.054990833,1.054985556,5.28E-06,1,0,buy,red,Tuesday,0,,1.0545,0,1575,1,0
14:52.1,1.053,1.0533,1.05251,1.0533,729,1.0530275,1.052814167,1.052846667,-3.25E-05,-1,0,sell,green,Tuesday,0,,1.0533,0,1580,1,0
53:01.9,1.0548,1.0551,1.05464,1.0551,284,1.05491,1.0545975,1.054610833,-1.33E-05,-1,0,sell,green,Tuesday,0,,1.0551,0,1596,1,0
38:13.4,1.062,1.06239,1.0617,1.0617,458,1.0619475,1.062198333,1.06218,1.83E-05,1,0,buy,red,Wednesday,0,,1.0617,0,1611,1,0
06:35.3,1.0731,1.07327,1.0728,1.0728,616,1.0729925,1.0732725,1.0732675,5.00E-06,1,0,buy,red,Tuesday,0,,1.0728,0,1781,1,0
58:36.2,1.0731,1.07329,1.0728,1.0728,865,1.0729975,1.07325,1.073234444,1.56E-05,1,0,buy,red,Wednesday,0,,1.0728,0,1809,1,0
14:11.5,1.0818,1.08196,1.0815,1.0815,210,1.08169,1.081984167,1.081983056,1.11E-06,1,0,buy,red,Monday,0,,1.0815,0,1941,1,0
17:44.2,1.0818,1.0821,1.08162,1.0821,271,1.081905,1.081599167,1.081605278,-6.11E-06,-1,0,sell,green,Monday,0,,1.0821,0,1942,1,0
42:47.6,1.0821,1.08253,1.0818,1.0818,2172,1.0820575,1.082324167,1.082295278,2.89E-05,1,0,buy,red,Monday,0,,1.0818,0,1949,1,0
54:21.1,1.0821,1.0824,1.08173,1.0824,1196,1.0821575,1.081905833,1.081943889,-3.81E-05,-1,0,sell,green,Tuesday,0,,1.0824,0,1964,1,0
01:20.2,1.0839,1.0839,1.0836,1.0836,27,1.08375,1.084086667,1.084083333,3.33E-06,1,0,buy,red,Tuesday,0,,1.0836,0,1979,1,0
36:47.5,1.0818,1.0818,1.0815,1.0815,82,1.08165,1.081996667,1.081988333,8.33E-06,1,0,buy,red,Tuesday,0,,1.0815,0,1989,1,0
00:27.7,1.0803,1.08048,1.08,1.08,702,1.080195,1.080461667,1.080456111,5.56E-06,1,0,buy,red,Tuesday,0,,1.08,0,1991,1,0
32:09.3,1.0821,1.08212,1.0818,1.0818,349,1.081955,1.082285,1.082273889,1.11E-05,1,0,buy,red,Wednesday,0,,1.0818,0,2053,1,0
47:19.1,1.0821,1.0824,1.08151,1.0824,2358,1.0821025,1.081868333,1.081896667,-2.83E-05,-1,0,sell,green,Thursday,0,,1.0824,0,2066,1,0
50:02.3,1.0818,1.08181,1.0815,1.0815,42,1.0816525,1.0819325,1.081930833,1.67E-06,1,0,buy,red,Thursday,0,,1.0815,0,2067,1,0
39:33.6,1.0821,1.08226,1.0818,1.0818,338,1.08199,1.082279167,1.082269167,1.00E-05,1,0,buy,red,Thursday,0,,1.0818,0,2075,1,0
19:57.5,1.0839,1.0842,1.08383,1.0842,119,1.0840325,1.083739167,1.08375,-1.08E-05,-1,0,sell,green,Friday,0,,1.0842,0,2098,1,0
30:23.2,1.0839,1.0842,1.08383,1.0842,117,1.0840325,1.083720833,1.083727778,-6.94E-06,-1,0,sell,green,Friday,0,,1.0842,0,2118,1,0
54:14.0,1.0893,1.08934,1.089,1.089,134,1.08916,1.089464167,1.089456111,8.06E-06,1,0,buy,red,Monday,0,,1.089,0,2127,1,0
14:16.5,1.0875,1.08791,1.0872,1.0872,1133,1.0874525,1.087725,1.08768,4.50E-05,1,0,buy,red,Tuesday,0,,1.0872,0,2165,1,0
16:09.7,1.0857,1.08596,1.0854,1.0854,793,1.085615,1.085913333,1.085892778,2.06E-05,1,0,buy,red,Tuesday,0,,1.0854,0,2167,1,0
11:16.3,1.0875,1.0878,1.08737,1.0878,380,1.0876175,1.0872975,1.0873075,-1.00E-05,-1,0,sell,green,Tuesday,0,,1.0878,0,2192,1,0
30:03.1,1.0893,1.08982,1.089,1.089,3728,1.08928,1.0895225,1.089478333,4.42E-05,1,0,buy,red,Thursday,0,,1.089,0,2237,1,0
