cum_position_count,entry_price,entry_time,exit_time,first_TP_hit,exit_price,direction,secondary_profit,primary_profit,profit,swap,swap_rate,nova_profit_inp,msolutions_profit_inp,nova_profit,msolutions_profit,entry_day_of_week,exit_day_of_week,nova_cum_sum,msolutions_cum_sum
596.0,1.0621000000000023,2023-03-03 02:33:00,2023-03-03 02:48:00,0.0,1.0614500000000022, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Friday,Friday,114395.00007585756,102475.00007585756
597.0,1.0624250000000022,2023-03-03 03:36:00,2023-03-03 03:51:00,1.0,1.062100000000002, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Friday,Friday,114040.00007585743,102100.00007585743
598.0,1.0595000000000028,2023-03-03 11:10:00,2023-03-03 11:18:00,0.0,1.0601500000000028, short,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Friday,Friday,113360.00007585739,101400.00007585739
599.0,1.0617750000000024,2023-03-03 13:00:00,2023-03-03 15:47:00,1.0,1.0630750000000018, buy,649.9999999997065,162.5,1299.999999999413,0,0.0,782.4999999997065,762.4999999997065,1269.999999999413,1249.999999999413,Friday,Friday,114630.0000758568,102650.0000758568
600.0,1.0637250000000018,2023-03-05 20:55:00,2023-03-05 21:07:00,0.0,1.0630750000000018, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Sunday,Sunday,113950.00007585676,101950.00007585676
601.0,1.0637250000000018,2023-03-05 21:36:00,2023-03-06 01:21:00,1.0,1.0643750000000014, buy,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Sunday,Monday,114570.00007585635,102550.00007585635
602.0,1.0647000000000015,2023-03-06 02:12:00,2023-03-06 03:30:00,1.0,1.0647000000000013, buy,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Monday,Monday,114540.00007585614,102500.00007585614
603.0,1.0634000000000017,2023-03-06 04:47:00,2023-03-06 06:32:00,1.0,1.063075000000002, short,162.49999999984334,162.5,324.9999999996867,0,0.0,294.99999999984334,274.99999999984334,294.9999999996867,274.9999999996867,Monday,Monday,114835.00007585582,102775.00007585582
604.0,1.0647000000000015,2023-03-06 10:00:00,2023-03-06 10:23:00,1.0,1.0676250000000005, buy,1462.4999999994782,162.5,2924.9999999989564,0,0.0,1594.9999999994782,1574.9999999994782,2894.9999999989564,2874.9999999989564,Monday,Monday,117730.00007585477,105650.00007585477
605.0,1.0686000000000004,2023-03-06 10:52:00,2023-03-06 10:55:00,0.0,1.0679500000000004, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Monday,Monday,117050.00007585472,104950.00007585472
606.0,1.0689250000000003,2023-03-06 12:00:00,2023-03-06 12:26:00,1.0,1.0686000000000002, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Monday,Monday,116695.0000758546,104575.0000758546
607.0,1.0673000000000006,2023-03-06 14:00:00,2023-03-06 14:54:00,1.0,1.0676250000000007, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Monday,Monday,116340.00007585446,104200.00007585446
