2024.02.23 07:19:42.385,"2023.10.16 03:30:00  min_impulse_psar EURUSD,M15: Time: 3"
2024.02.23 07:19:42.385,"2023.10.16 03:30:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.385,"2023.10.16 03:30:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.385,"2023.10.16 03:30:00  min_impulse_psar EURUSD,M15: SMI: 24.10958009446965"
2024.02.23 07:19:42.385,"2023.10.16 03:30:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.385,"2023.10.16 03:30:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.395,"2023.10.16 03:45:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.395,"2023.10.16 03:45:00  min_impulse_psar EURUSD,M15: Time: 3"
2024.02.23 07:19:42.395,"2023.10.16 03:45:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.395,"2023.10.16 03:45:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.396,"2023.10.16 03:45:00  min_impulse_psar EURUSD,M15: SMI: 12.00808346332268"
2024.02.23 07:19:42.396,"2023.10.16 03:45:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.396,"2023.10.16 03:45:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.414,"2023.10.16 04:00:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.414,"2023.10.16 04:00:00  min_impulse_psar EURUSD,M15: Time: 4"
2024.02.23 07:19:42.414,"2023.10.16 04:00:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.414,"2023.10.16 04:00:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.414,"2023.10.16 04:00:00  min_impulse_psar EURUSD,M15: SMI: -12.2586793479815"
2024.02.23 07:19:42.414,"2023.10.16 04:00:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.414,"2023.10.16 04:00:00  min_impulse_psar EURUSD,M15: First Cross: false"
